id,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,age,anydoc,attend,born,childs,class,cohort,condom,conmedic,consci,degree,doc1,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc2,doc20,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doclist,docsui,educ,fund,fund16,godoc,harmgood,health,hlthinsr,hmo1,hmo2,hmo3,hmo4,hmo5,hmo6,hmo7,hospice,income98,knwnproz,letdie1,marital,natdrug,natdrugy,natheal,nathealy,notreat,nummen,numwomen,painmed,partners,partnrs5,partyid,polviews,proz1,proz2,proz3,proz4,proz5,proz6,proz7,proz8,proz9,prozac,prozfor1,prozfor2,prozfor3,prozkid1,prozkid2,prozkid3,prozslf1,prozslf2,prozslf3,prozslf4,psycdrct,psycfdoc,psyckid1,psyckid2,psyckid3,psycmed1,psycmed2,psycmed3,psycmed4,psycmed5,psycmed6,psycmed7,psycpsyc,pubagncy,race,reg16,region,relatsex,relig,relig16,religid,religkid,reliten,res16,rightref,rincom98,sei,sex,sexfreq,sexsex,sexsex5,size,srcbelt,stress,suicide1,suicide2,suicide3,suicide4,termecon,termemot,terminal,termpain,termpay,termrel,termvig,testdrug,trustsci,usedmntl,usedproz,usepsyc1,usepsyc2,usepsyc3,usepsyc4,useskill,wordsum,wrkstat,xnorcsiz,woman,region4
1733,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,31,,every week,yes,1,working class,1967,not used,only some,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,liberal,no,neither agree nor disagree,excellent,,,,,,,,,,$50000 to 59999,,,never married,,too little,,too little,,0,15,,1 partner,4 partners,independent,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,south atlantic,"yes, in relationship",catholic,protestant,,protestant,not very strong,city gt 250000,,$50000 to 59999,52.5,male,4+ per week,exclusively female,exclusively female,43,"suburb, 13-100",,,,,,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, med city",Man,South
1734,yes,,yes,yes,yes,yes,,yes,34,,once a year,yes,3,middle class,1964,,,,high school,,,,,,,,,,,,,,,,,,,,,,,10,moderate,moderate,no,,good,,,,,,,,,,$10000 to 12499,,yes,divorced,too little,,too little,,,0,0,,no partners,no partners,"ind,near rep",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,south atlantic,,catholic,catholic,,,not very strong,50000 to 250000,,$8 000 to 9 999,54.700001,female,not at all,,,43,"suburb, 13-100",,yes,no,no,no,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, med city",Woman,South
1735,,,,,,,,,28,,every week,yes,2,working class,1970,not used,a great deal,only some,lt high school,agree,agree,agree,disagree,agree,agree,uncertain,agree,disagree,agree,agree,uncertain,uncertain,agree,disagree,agree,agree,disagree,agree,agree,,agree,11,moderate,moderate,,,good,no not covered,disagree,agree,strong disagree,not agree/dsagre,agree,agree,agree,stongly agree,$15000 to 17499,yes,yes,never married,too little,,too little,,not agree/dsagre,,,agree,,,strong democrat,moderate,strongly agree,not agree/dsagre,disagree,agree,disagree,agree,not agree/dsagre,disagree,agree,yes,1,2,,very unlikely,very unlikely,very likely,agree,agree,agree,strongly agree,somewht unlikely,very likely,mixed,somewht unlikely,very likely,agree,agree,disagree,agree,disagree,agree,agree,mixed,,white,w  sou central,south atlantic,"yes, in relationship",catholic,catholic,,,somewhat strong,town lt 50000,agree,$10000 to 12499,43.700001,female,,,,43,"suburb, 13-100",sometimes,yes,no,no,no,not agree/dsagre,stongly agree,yes myself,not agree/dsagre,not agree/dsagre,agree,vignette c,1,,,yes,very likely,somewhat likely,somewhat likely,very likely,a little,3,working parttime,"suburb, med city",Woman,South
1736,yes,,yes,yes,yes,yes,,yes,46,yes,2-3x a month,yes,2,middle class,1952,not used,only some,a great deal,junior college,disagree,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,disagree,agree,disagree,agree,agree,disagree,disagree,disagree,disagree,yes,disagree,14,liberal,liberal,,,good,yes covered,disagree,agree,agree,agree,agree,disagree,dont know,disagree,$75000 to $89999,no,,married,,about right,,too little,disagree,3,0,dont know,1 partner,1 partner,independent,slightly liberal,not agree/dsagre,strong disagree,cant choose,agree,agree,agree,not agree/dsagre,disagree,agree,yes,2,,,somewhat likely,somewhat likely,somewhat likely,agree,agree,agree,agree,somewht unlikely,somewht unlikely,somewhat likely,somewhat likely,somewhat likely,disagree,disagree,disagree,not agree/dsagre,agree,agree,agree,somewhat likely,,white,e  nor central,south atlantic,"yes, in relationship",protestant,protestant,,,strong,"country,nonfarm",stongly agree,$12500 to 14999,31.4,female,weekly,exclusively male,exclusively male,43,"suburb, 13-100",hardly ever,,,,,agree,disagree,yes myself,agree,agree,agree,vignette f,agree,,no,no,somewhat likely,somewhat likely,somewhat likely,somewhat likely,a lot,8,working fulltime,"suburb, med city",Woman,South
1737,no,,no,yes,no,no,,yes,39,know know,once a year,yes,0,working class,1959,not used,,,high school,strongly agree,disagree,agree,agree,agree,disagree,disagree,agree,agree,disagree,agree,agree,disagree,uncertain,disagree,agree,,agree,agree,agree,yes,strong disagree,13,moderate,moderate,,,good,yes covered,disagree,agree,agree,not agree/dsagre,agree,strongly agree,strongly agree,not agree/dsagre,$15000 to 17499,yes,yes,married,,too little,,too little,disagree,0,4,strong disagree,1 partner,1 partner,not str democrat,slghtly conservative,agree,agree,agree,agree,agree,not agree/dsagre,agree,disagree,agree,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,somewht unlikely,very unlikely,very unlikely,very unlikely,not agree/dsagre,strongly agree,strongly agree,agree,disagree,not agree/dsagre,disagree,somewht unlikely,,white,south atlantic,south atlantic,"yes, in relationship",catholic,catholic,,,not very strong,big-city suburb,agree,$1 000 to 2 999,30.1,male,2-3 per week,exclusively female,exclusively female,43,"suburb, 13-100",sometimes,yes,no,no,no,agree,agree,yes othr relatve,disagree,stongly agree,dont know,vignette b,agree,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,almost all,6,working fulltime,"suburb, med city",Man,South
1738,no,,yes,yes,no,no,,yes,33,,more thn once wk,yes,2,working class,1965,,a great deal,only some,high school,,,,,,,,,,,,,,,,,,,,,,,14,,fundamentalist,no,,good,,,,,,,,,,$25000 to 29999,,,married,about right,,too little,,,0,0,,no partners,no partners,not str republican,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,south atlantic,,chrsitian,protestant,,,strong,50000 to 250000,,$12500 to 14999,81,male,not at all,,,43,"suburb, 13-100",,,,,,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, med city",Man,South
1739,yes,,yes,yes,yes,yes,,yes,26,,never,yes,5,working class,1972,,only some,only some,lt high school,,,,,,,,,,,,,,,,,,,,,,,11,fundamentalist,fundamentalist,yes,,good,,,,,,,,,,$20000 to 22499,,,married,,too little,,too little,,0,0,,no partners,no partners,"ind,near dem",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,w  nor central,w  nor central,,protestant,protestant,none,,somewhat strong,town lt 50000,,,26.4,female,not at all,,,150,smsa's 13-100,,,,,,,,,,,,,,,,,,,,,,0,keeping house,"city,50-250000",Woman,Midwest
174,,,,,,,,,69,no,every week,yes,4,working class,1929,,hardly any,hardly any,high school,agree,disagree,uncertain,,uncertain,agree,,,uncertain,agree,,uncertain,disagree,agree,disagree,uncertain,,disagree,,,yes,dk,12,moderate,moderate,,,good,yes covered,dont know,dont know,dont know,dont know,dont know,dont know,dont know,stongly agree,,no,no,married,,too much,,,stongly agree,0,0,dont know,no partners,no partners,strong republican,conservative,strongly agree,cant choose,cant choose,cant choose,cant choose,cant choose,,,,yes,25,,,,,,,,,,dont know,dont know,very unlikely,very unlikely,dont know,not agree/dsagre,disagree,dont know,,,,,dont know,,white,middle atlantic,middle atlantic,,catholic,catholic,,,strong,city gt 250000,stongly agree,,,female,not at all,,,15,"suburb, 12 lrgst",,no,no,no,no,strong disagree,agree,no,not agree/dsagre,agree,agree,vignette d,1,,no,no,somewht unlikely,somewht unlikely,somewht unlikely,somewht unlikely,,7,keeping house,"suburb, lrg city",Woman,Northeast
1740,,not wrong at all,,,,,not wrong at all,,35,,never,yes,0,working class,1963,used last time,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,liberal,no,strongly disagree,good,,,,,,,,,,$50000 to 59999,,yes,never married,about right,,about right,,,0,60,,no partners,11-20 partners,,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,w  nor central,"no, no relationship",none,none,,no religion,no religion,farm,,$17500 to 19999,34.200001,male,not at all,,exclusively female,150,smsa's 13-100,,yes,no,no,no,,,,,,,,,strong disagree,,,,,,,,0,working fulltime,"city,50-250000",Man,Midwest
1741,no,,no,no,no,no,,no,36,yes,nrly every week,yes,4,middle class,1962,not used,,,junior college,disagree,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,disagree,yes,disagree,14,moderate,moderate,,,good,yes covered,dont know,dont know,dont know,dont know,dont know,dont know,dont know,agree,$75000 to $89999,yes,no,married,,too much,,too much,agree,2,0,agree,1 partner,1 partner,strong republican,conservative,cant choose,agree,not agree/dsagre,agree,not agree/dsagre,agree,disagree,disagree,agree,yes,6,2,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,mixed,somewhat likely,somewht unlikely,very unlikely,not agree/dsagre,disagree,disagree,agree,agree,agree,disagree,somewht unlikely,,white,w  nor central,w  nor central,"yes, in relationship",catholic,catholic,,,strong,big-city suburb,agree,$6 000 to 6 999,63.5,female,weekly,exclusively male,exclusively male,150,smsa's 13-100,sometimes,no,no,no,no,disagree,not agree/dsagre,yes immed reltve,agree,disagree,agree,vignette b,agree,,no,no,very unlikely,very unlikely,somewht unlikely,mixed,almost all,6,working fulltime,"city,50-250000",Woman,Midwest
1742,,,,,,,,,76,yes,never,yes,2,middle class,1922,,only some,only some,lt high school,agree,agree,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,agree,uncertain,agree,agree,disagree,uncertain,disagree,disagree,disagree,uncertain,uncertain,yes,,9,moderate,moderate,,,poor,yes covered,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,,,no,yes,widowed,,too little,,too little,,0,0,,no partners,no partners,strong democrat,extrmly conservative,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,2,,,dk,dk,dk,cant choose,cant choose,cant choose,cant choose,somewhat likely,somewht unlikely,very unlikely,very unlikely,very unlikely,not agree/dsagre,agree,dont know,dont know,disagree,dont know,not agree/dsagre,somewht unlikely,,white,w  nor central,w  nor central,,catholic,catholic,,,somewhat strong,city gt 250000,,,43.700001,female,not at all,,,150,smsa's 13-100,,yes,no,no,no,disagree,agree,yes myself,not agree/dsagre,not agree/dsagre,agree,vignette d,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,,,retired,"city,50-250000",Woman,Midwest
1743,,almost always wrong,,,,,always wrong,,19,,never,yes,0,middle class,1979,used last time,only some,a great deal,,,,,,,,,,,,,,,,,,,,,,,,11,moderate,moderate,no,disagree,excellent,,,,,,,,,,$22500 to 24999,,yes,never married,,too little,,too little,,1,0,,1 partner,1 partner,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,w  nor central,w  nor central,"yes, in relationship",catholic,catholic,,catholic,not very strong,city gt 250000,,$3 000 to 3 999,33.099998,female,weekly,exclusively male,exclusively male,150,smsa's 13-100,,yes,no,no,no,,,,,,,,,disagree,,,,,,,,0,working parttime,"city,50-250000",Woman,Midwest
1744,,,,,,,,,41,no,lt once a year,yes,2,working class,1957,used last time,only some,hardly any,high school,uncertain,agree,strongly agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,disagree,uncertain,agree,disagree,uncertain,disagree,disagree,yes,agree,11,fundamentalist,fundamentalist,,,good,yes covered,not agree/dsagre,not agree/dsagre,agree,disagree,disagree,disagree,disagree,agree,$40000 to 49999,yes,yes,divorced,too little,,too little,,agree,0,20,agree,2 partners,5-10 partners,independent,liberal,not agree/dsagre,disagree,disagree,agree,agree,agree,agree,agree,agree,yes,2,,,mixed,mixed,mixed,strongly agree,strongly agree,strongly agree,strongly agree,somewhat likely,somewhat likely,somewhat likely,mixed,very likely,not agree/dsagre,disagree,agree,agree,agree,agree,agree,somewht unlikely,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,,,not very strong,city gt 250000,agree,$40000 to 49999,27.700001,male,4+ per week,exclusively female,exclusively female,150,smsa's 13-100,often,yes,no,no,no,agree,agree,yes friend,disagree,agree,not agree/dsagre,vignette c,agree,,yes,no,very likely,very likely,very likely,very likely,almost none,4,working fulltime,"city,50-250000",Man,Midwest
1745,no,,no,no,no,no,,yes,66,yes,2-3x a month,yes,4,middle class,1932,not used,only some,hardly any,high school,agree,disagree,agree,uncertain,uncertain,agree,disagree,agree,disagree,uncertain,disagree,disagree,disagree,agree,disagree,uncertain,agree,disagree,agree,agree,no,disagree,12,fundamentalist,fundamentalist,,,poor,yes covered,disagree,agree,agree,agree,agree,agree,agree,agree,,no,,married,too little,,about right,,agree,1,0,agree,no partners,1 partner,independent,slightly liberal,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,very likely,somewht unlikely,very unlikely,very unlikely,very unlikely,agree,strongly agree,not agree/dsagre,agree,not agree/dsagre,agree,agree,somewhat likely,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,,,strong,town lt 50000,agree,,22.700001,female,not at all,,exclusively male,150,smsa's 13-100,,,,,,disagree,disagree,no,agree,agree,agree,vignette e,agree,,no,no,mixed,somewhat likely,somewhat likely,somewhat likely,,5,retired,"city,50-250000",Woman,Midwest
1746,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,43,,once a year,yes,1,lower class,1955,not used,,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,moderate,no,neither agree nor disagree,fair,,,,,,,,,,$22500 to 24999,,yes,divorced,too little,,too little,,,0,300,,1 partner,21-100 partners,"ind,near dem",extrmly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,e  nor central,w  nor central,"yes, in relationship",protestant,protestant,none,dk,not very strong,50000 to 250000,,$20000 to 22499,38.799999,male,weekly,exclusively female,exclusively female,150,smsa's 13-100,,yes,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,"city,50-250000",Man,Midwest
1747,no,,yes,yes,no,no,,yes,57,yes,never,yes,2,middle class,1941,,only some,only some,high school,disagree,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,disagree,yes,agree,12,fundamentalist,fundamentalist,,,excellent,yes covered,dont know,agree,agree,agree,not agree/dsagre,disagree,dont know,agree,$75000 to $89999,,,married,,too little,,too little,agree,0,0,agree,no partners,no partners,strong democrat,moderate,,,,,,,,,,no,,,,,,,,,,,somewht unlikely,somewht unlikely,somewhat likely,mixed,somewht unlikely,disagree,disagree,disagree,agree,agree,agree,agree,somewhat likely,,white,w  nor central,w  nor central,,protestant,protestant,,,not very strong,farm,agree,$40000 to 49999,49.599998,male,not at all,,,150,smsa's 13-100,,,,,,not agree/dsagre,agree,yes othr relatve,agree,disagree,agree,vignette f,agree,,no,,somewht unlikely,very likely,somewhat likely,somewhat likely,,5,working fulltime,"city,50-250000",Man,Midwest
1748,yes,,yes,yes,yes,yes,,yes,32,yes,once a year,yes,0,working class,1966,used last time,,,junior college,disagree,agree,agree,agree,disagree,disagree,disagree,agree,disagree,agree,agree,disagree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,yes,not agree/dsagre,14,liberal,liberal,,,good,yes covered,not agree/dsagre,disagree,disagree,agree,agree,not agree/dsagre,agree,stongly agree,$40000 to 49999,yes,yes,never married,,too little,,too little,stongly agree,2,0,stongly agree,no partners,no partners,independent,slghtly conservative,not agree/dsagre,disagree,disagree,agree,agree,agree,agree,disagree,agree,yes,1,,,very unlikely,very unlikely,somewht unlikely,not agree/dsagre,strongly agree,strongly agree,strongly agree,somewhat likely,mixed,somewht unlikely,somewht unlikely,somewht unlikely,disagree,disagree,disagree,agree,strongly agree,strongly agree,strongly agree,mixed,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,,,not very strong,town lt 50000,stongly agree,$40000 to 49999,65.800003,female,not at all,,,dk,other urban,often,yes,yes,yes,yes,stongly agree,stongly agree,yes othr relatve,stongly agree,strong disagree,stongly agree,vignette b,1,,no,no,very unlikely,very unlikely,somewht unlikely,very unlikely,a lot,5,working fulltime,"suburb, lrg city",Woman,Midwest
1749,,,,,,,,,26,yes,lt once a year,yes,2,middle class,1972,not used,a great deal,a great deal,high school,disagree,agree,agree,uncertain,disagree,disagree,uncertain,agree,uncertain,agree,uncertain,agree,strongly agree,disagree,disagree,disagree,uncertain,agree,strongly agree,uncertain,yes,disagree,12,liberal,liberal,,,good,yes covered,not agree/dsagre,not agree/dsagre,agree,disagree,strong disagree,not agree/dsagre,disagree,agree,$40000 to 49999,no,yes,married,too little,,too little,,not agree/dsagre,0,10,not agree/dsagre,1 partner,5-10 partners,not str democrat,moderate,not agree/dsagre,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,somewhat likely,not agree/dsagre,disagree,not agree/dsagre,not agree/dsagre,somewhat likely,mixed,very unlikely,very unlikely,very unlikely,not agree/dsagre,agree,strongly agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,somewhat likely,,white,w  nor central,w  nor central,"yes, in relationship",none,none,,,no religion,"country,nonfarm",agree,$40000 to 49999,30.1,male,weekly,exclusively female,exclusively female,dk,other urban,hardly ever,yes,no,no,yes,not agree/dsagre,agree,no,agree,not agree/dsagre,not agree/dsagre,vignette c,1,,no,no,somewht unlikely,mixed,mixed,very unlikely,a lot,4,working fulltime,"suburb, lrg city",Man,Midwest
175,yes,,yes,yes,yes,yes,,yes,20,yes,once a year,yes,0,working class,1978,,,,high school,agree,disagree,agree,disagree,disagree,disagree,strong disagree,strongly agree,strong disagree,strongly agree,strongly agree,agree,strongly agree,uncertain,uncertain,disagree,disagree,disagree,uncertain,uncertain,no,not agree/dsagre,12,moderate,moderate,,,excellent,yes covered,agree,agree,agree,dont know,dont know,dont know,dont know,stongly agree,$40000 to 49999,yes,yes,never married,,about right,,too much,not agree/dsagre,0,0,agree,no partners,no partners,strong democrat,moderate,not agree/dsagre,agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,yes,2,,,very likely,somewhat likely,very likely,agree,strongly agree,agree,strongly agree,very unlikely,very likely,very unlikely,somewhat likely,very likely,agree,not agree/dsagre,agree,strongly agree,agree,agree,strongly agree,very likely,,white,middle atlantic,middle atlantic,,catholic,catholic,,,not very strong,big-city suburb,stongly agree,under $1 000,31.4,male,not at all,,,15,"suburb, 12 lrgst",never,yes,yes,yes,yes,not agree/dsagre,stongly agree,yes othr relatve,agree,not agree/dsagre,not agree/dsagre,vignette b,agree,,no,no,somewhat likely,very likely,very likely,very likely,a little,7,working parttime,"suburb, lrg city",Man,Northeast
1750,no,,yes,yes,no,no,,yes,43,yes,once a year,yes,1,working class,1955,not used,a great deal,only some,high school,agree,agree,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,,agree,agree,disagree,uncertain,agree,disagree,disagree,disagree,disagree,yes,disagree,13,fundamentalist,fundamentalist,,,good,yes covered,disagree,disagree,agree,disagree,disagree,dont know,dont know,agree,$35000 to 39999,no,,widowed,too little,,too little,,agree,8,0,agree,1 partner,3 partners,"ind,near rep",moderate,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,somewht unlikely,very unlikely,very unlikely,very unlikely,dont know,dont know,dont know,dont know,dont know,dont know,dont know,somewhat likely,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,,,not very strong,farm,agree,$35000 to 39999,76.400002,female,once or twice,exclusively male,exclusively male,dk,other urban,sometimes,,,,,not agree/dsagre,agree,no,agree,agree,agree,vignette e,agree,,no,no,very unlikely,somewht unlikely,somewht unlikely,dont know,almost all,7,working fulltime,"suburb, lrg city",Woman,Midwest
1751,,not wrong at all,,,,,always wrong,,40,,once a month,yes,3,middle class,1958,not used,a great deal,a great deal,high school,,,,,,,,,,,,,,,,,,,,,,,13,moderate,moderate,no,disagree,excellent,,,,,,,,,,$50000 to 59999,,yes,divorced,,too little,,too little,,0,6,,1 partner,2 partners,not str republican,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,liberal,protestant,,farm,,$50000 to 59999,28.6,male,2-3 per week,exclusively female,exclusively female,dk,other urban,,yes,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, lrg city",Man,Midwest
1752,no,wrong only sometimes,yes,no,no,no,always wrong,yes,69,,more thn once wk,yes,2,working class,1929,not used,,,graduate,,,,,,,,,,,,,,,,,,,,,,,20,liberal,liberal,no,neither agree nor disagree,good,,,,,,,,,,$15000 to 17499,,no,widowed,too little,,too little,,,1,0,,no partners,1 partner,independent,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,none,protestant,strong,town lt 50000,,,78.5,female,,,exclusively male,dk,other urban,,no,no,no,no,,,,,,,,,agree,,,,,,,,0,retired,"suburb, lrg city",Woman,Midwest
1753,,,,,,,,,40,,never,yes,1,working class,1958,not used,hardly any,only some,high school,agree,disagree,agree,agree,agree,agree,agree,uncertain,uncertain,uncertain,uncertain,disagree,strong disagree,agree,disagree,uncertain,disagree,disagree,disagree,agree,,strong disagree,13,fundamentalist,liberal,,,good,no not covered,not agree/dsagre,not agree/dsagre,agree,not agree/dsagre,dont know,dont know,dont know,stongly agree,$7 000 to 7 999,yes,no,separated,,about right,,too little,agree,0,10,stongly agree,1 partner,3 partners,independent,slightly liberal,strong disagree,strong disagree,not agree/dsagre,strongly agree,strongly agree,strongly agree,not agree/dsagre,strong disagree,not agree/dsagre,yes,2,,,very unlikely,very unlikely,very unlikely,agree,agree,agree,agree,very unlikely,somewht unlikely,very unlikely,very unlikely,very unlikely,strong disagree,disagree,not agree/dsagre,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,,,somewhat strong,town lt 50000,stongly agree,$7 000 to 7 999,28.6,male,4+ per week,exclusively female,exclusively female,dk,other urban,often,yes,no,no,no,stongly agree,agree,yes othr relatve,agree,disagree,not agree/dsagre,vignette d,1,,,no,very likely,very likely,mixed,mixed,a lot,7,working fulltime,"suburb, lrg city",Man,Midwest
1754,no,,yes,yes,yes,no,,yes,88,yes,every week,yes,0,middle class,1910,not used,a great deal,only some,lt high school,agree,uncertain,agree,agree,uncertain,uncertain,disagree,agree,disagree,disagree,agree,agree,uncertain,disagree,disagree,agree,disagree,uncertain,agree,agree,yes,disagree,8,liberal,,,,good,yes covered,agree,disagree,agree,disagree,disagree,disagree,dont know,agree,$15000 to 17499,no,,married,,too little,,too little,agree,0,2,agree,1 partner,1 partner,"ind,near dem",moderate,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,somewht unlikely,very unlikely,very unlikely,very unlikely,agree,not agree/dsagre,agree,not agree/dsagre,disagree,not agree/dsagre,agree,somewht unlikely,no,white,w  nor central,w  nor central,"no, no relationship",protestant,other (specify),,,strong,farm,stongly agree,,31.5,male,2-3 times a month,exclusively female,exclusively female,dk,other urban,,,,,,disagree,agree,no,agree,agree,agree,vignette f,agree,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,,5,retired,"suburb, lrg city",Man,Midwest
1755,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,41,,never,yes,0,working class,1957,not used,only some,hardly any,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,liberal,no,agree,good,,,,,,,,,,$10000 to 12499,,,divorced,too little,,too little,,,"some,1+",,,no partners,1 partner,not str republican,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,w  nor central,"yes, in relationship",protestant,protestant,none,protestant,somewhat strong,town lt 50000,,$10000 to 12499,38,female,not at all,,exclusively male,dk,other urban,,,,,,,,,,,,,,agree,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,Midwest
1756,no,wrong only sometimes,yes,yes,no,no,always wrong,yes,83,,never,yes,0,working class,1915,not used,hardly any,,lt high school,,,,,,,,,,,,,,,,,,,,,,,8,moderate,liberal,yes,dk,fair,,,,,,,,,,$10000 to 12499,,,widowed,,dk,,too little,,0,4,,no partners,no partners,not str republican,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,w  nor central,"yes, in relationship",protestant,none,none,,not very strong,farm,,,28.4,male,not at all,,,dk,other urban,,,,,,,,,,,,,,cant choose,,,,,,,,0,retired,"suburb, lrg city",Man,Midwest
1757,,,,,,,,,59,yes,more thn once wk,yes,1,working class,1939,not used,a great deal,only some,high school,agree,disagree,uncertain,,uncertain,uncertain,agree,disagree,agree,disagree,disagree,disagree,disagree,uncertain,disagree,uncertain,disagree,disagree,agree,disagree,yes,disagree,12,fundamentalist,fundamentalist,,,good,yes covered,disagree,agree,not agree/dsagre,agree,agree,agree,agree,agree,$30000 to 34999,no,dk,divorced,,about right,,about right,agree,3,0,agree,no partners,no partners,strong democrat,moderate,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,somewht unlikely,very unlikely,very unlikely,very unlikely,disagree,agree,dont know,agree,agree,agree,agree,somewhat likely,no,black,w  sou central,w  nor central,"yes, in relationship",protestant,protestant,,,strong,farm,agree,,26.700001,female,not at all,,,434,smsa's 13-100,,no,no,no,no,disagree,agree,no,disagree,agree,agree,vignette d,1,,no,no,somewht unlikely,somewht unlikely,very unlikely,somewhat likely,,7,retired,city gt 250000,Woman,Midwest
